,Open,High,Low,Close,Adj Close,Volume
2015-06-24,110.66,111.13,110.19,110.22,102.157919618247,15815914.0
2015-06-25,110.65,110.76,109.815,110.0,101.954011595056,18326654.0
2015-06-26,109.98,110.23,108.86,109.27,101.277407699926,32311679.0
2015-06-29,108.06,108.66,106.64,106.69,98.8861227006961,50874901.0
2015-06-30,107.49,107.72,106.74,107.07,99.2383274680245,34809920.0
2015-07-01,108.13,108.3464,107.42,107.92,100.026153921259,21292958.0
2015-07-02,108.23,108.32,107.62,107.95,100.053959560785,20499447.0
2015-07-06,107.27,108.32,107.04,107.7,99.8222458980689,24311020.0
2015-07-07,107.82,108.07,105.83,107.97,100.072496653802,44230772.0
2015-07-08,107.2,107.33,105.8942,106.09,98.3300099101776,39691475.0
2015-07-09,107.5,107.5955,106.02,106.03,98.2743986311258,28381041.0
2015-07-10,107.44,108.05,107.05,107.65,99.7759031655257,26415825.0
2015-07-13,108.58,109.63,108.57,109.54,101.527658455659,25780733.0
2015-07-14,109.69,110.56,109.63,110.26,102.194993804281,21977167.0
2015-07-15,110.47,110.81,110.07,110.38,102.306216362385,28631537.0
2015-07-16,111.29,111.96,111.07,111.94,103.752109617733,29838948.0
2015-07-17,112.84,113.59,112.65,113.59,105.281419791659,35926804.0
2015-07-20,113.83,114.39,113.48,113.98,105.642893105496,26539045.0
2015-07-21,114.02,114.2,113.58,113.91,105.578013279935,35468865.0
2015-07-22,112.17,113.169,112.165,112.62,104.382370780321,35574962.0
2015-07-23,112.73,113.1,111.91,112.2,103.993091826958,25698255.0
2015-07-24,112.8,113.003,110.93,111.1,102.973551711007,30844714.0
2015-07-27,110.47,110.946,109.94,110.18,102.120845432212,35994837.0
2015-07-28,110.67,111.35,109.785,111.13,103.001357350533,33553494.0
2015-07-29,111.37,111.79,110.94,111.55,103.390636303896,26714068.0
2015-07-30,111.29,112.2663,110.621,112.08,103.881869268854,25438057.0
2015-07-31,112.43,112.49,111.72,111.95,103.761378164242,22081731.0
2015-08-03,111.97,112.28,110.861,111.6,103.436979036439,25001780.0
2015-08-04,111.55,111.745,110.93,111.39,103.242339559758,22132319.0
2015-08-05,112.01,113.0,111.88,112.24,104.030166012992,27626277.0
2015-08-06,112.35,112.5,109.95,110.45,102.371096187945,42125401.0
2015-08-07,110.18,110.57,109.4,110.31,102.241336536824,30006846.0
2015-08-10,111.01,111.81,111.0,111.57,103.409173396913,21500780.0
2015-08-11,110.98,111.4101,109.53,110.14,102.083771246177,36123270.0
2015-08-12,109.38,110.735,108.22,110.52,102.435976013506,41888960.0
2015-08-13,110.63,111.16,110.1,110.34,102.26914217635,22510520.0
2015-08-14,110.08,110.67,109.86,110.51,102.426707466997,17924931.0
2015-08-17,110.24,111.46,109.96,111.43,103.279413745792,21224913.0
2015-08-18,111.275,111.37,110.71,110.86,102.7511065948,13984363.0
2015-08-19,110.52,111.105,109.49,110.13,102.074502699669,42511384.0
2015-08-20,109.11,109.46,107.07,107.08,99.2475960145331,57747349.0
2015-08-21,105.57,106.47,102.4,102.4,94.9099162484889,97763445.0
2015-08-24,94.23,102.53,84.74,98.46,91.2581089240842,150829863.0
2015-08-25,102.07,102.74,98.01,98.09,90.9151727032644,75088278.0
2015-08-26,100.96,103.23,98.93,103.03,95.4938346785333,104103817.0
2015-08-27,104.53,105.71,103.2799,105.64,97.9129253172888,69377690.0
